
Episode 200 finished after 1279 time steps with total reward = -9764.00, explorations = 771, exploitations = 313, last epsilon used = 0.8966815144183318.
Episode 300 finished after 1095 time steps with total reward = -9761.00, explorations = 599, exploitations = 338, last epsilon used = 0.8563487636013172.
Episode 400 finished after 449 time steps with total reward = -9767.00, explorations = 143, exploitations = 258, last epsilon used = 0.8032337005612527.
Episode 500 finished after 653 time steps with total reward = -9766.00, explorations = 271, exploitations = 309, last epsilon used = 0.7481550048510686.
Episode 600 finished after 853 time steps with total reward = -9766.00, explorations = 367, exploitations = 357, last epsilon used = 0.6906064713669134.
Episode 700 finished after 510 time steps with total reward = -9754.00, explorations = 154, exploitations = 305, last epsilon used = 0.6305072317473174.
Episode 800 finished after 383 time steps with total reward = -9757.00, explorations = 81, exploitations = 268, last epsilon used = 0.5808448013500086.
Episode 900 finished after 451 time steps with total reward = -9754.00, explorations = 91, exploitations = 327, last epsilon used = 0.531891525167934.
Episode 0 finished after 734 time steps with total reward = -9768.00, explorations = 385, exploitations = 255, last epsilon used = 1.
Episode 100 finished after 504 time steps with total reward = -9768.00, explorations = 169, exploitations = 279, last epsilon used = 0.9267809647166116.
Episode 200 finished after 765 time steps with total reward = -9761.00, explorations = 381, exploitations = 304, last epsilon used = 0.857205969570888.
Episode 300 finished after 430 time steps with total reward = -9768.00, explorations = 121, exploitations = 275, last epsilon used = 0.8008264083574369.
Episode 400 finished after 412 time steps with total reward = -9764.00, explorations = 103, exploitations = 283, last epsilon used = 0.7541672684961374.
Episode 500 finished after 398 time steps with total reward = -9760.00, explorations = 89, exploitations = 286, last epsilon used = 0.7017506636113059.
Episode 600 finished after 413 time steps with total reward = -9766.00, explorations = 53, exploitations = 324, last epsilon used = 0.6426075087326283.
Episode 700 finished after 410 time steps with total reward = -9759.00, explorations = 79, exploitations = 301, last epsilon used = 0.5902177892943418.
Episode 800 finished after 226 time steps with total reward = -9841.00, explorations = 19, exploitations = 198, last epsilon used = 0.05.
Episode 900 finished after 361 time steps with total reward = -9766.00, explorations = 52, exploitations = 283, last epsilon used = 0.49940033441307996.
Episode 0 finished after 335 time steps with total reward = -9767.00, explorations = 67, exploitations = 255, last epsilon used = 1.
Episode 100 finished after 1025 time steps with total reward = -9772.00, explorations = 569, exploitations = 310, last epsilon used = 0.9120631656822724.
Episode 200 finished after 473 time steps with total reward = -9760.00, explorations = 153, exploitations = 277, last epsilon used = 0.8335254355400126.
Episode 300 finished after 427 time steps with total reward = -9767.00, explorations = 115, exploitations = 277, last epsilon used = 0.7617505868384082.
Episode 400 finished after 316 time steps with total reward = -9766.00, explorations = 30, exploitations = 273, last epsilon used = 0.6996475161707122.
